"User Story Number","User Story Description","Feature Number","Feature Description"
"US-17","As a HUD admin user, I want to recover my password when forgotten, so that I can regain system access securely.","F-1","Provide “Forgot Password” link on login page"
"US-17","As a HUD admin user, I want to recover my password when forgotten, so that I can regain system access securely.","F-2","Send reset email with time-limited token"
"US-17","As a HUD admin user, I want to recover my password when forgotten, so that I can regain system access securely.","F-3","Validate token before allowing password reset"
"US-17","As a HUD admin user, I want to recover my password when forgotten, so that I can regain system access securely.","F-4","Log password-recovery attempt in security audit"
"US-18","As a Customer Service Agent, I want to close a ticket, so that the issue is formally resolved.","F-1","Display a Close Ticket action on the ticket detail screen."
"US-18","As a Customer Service Agent, I want to close a ticket, so that the issue is formally resolved.","F-2","Require user confirmation before finalizing closure."
"US-18","As a Customer Service Agent, I want to close a ticket, so that the issue is formally resolved.","F-3","Update ticket status to “Closed” and refresh the view."
"US-19","As a Customer Service Agent, I want to create a new ticket from the header, so that I can record issues from anywhere in the system.","F-1","Add “New Ticket” button to the global header."
"US-19","As a Customer Service Agent, I want to create a new ticket from the header, so that I can record issues from anywhere in the system.","F-2","Open blank ticket form when the button is clicked."
"US-19","As a Customer Service Agent, I want to create a new ticket from the header, so that I can record issues from anywhere in the system.","F-3","Save the ticket and show its system-generated number."
"US-20","As a Customer Service Agent, I want to create a new ticket from a loan’s FHA-case tab, so that the ticket links to that specific loan.","F-1","Provide “New Ticket” control in the FHA-case tab."
"US-20","As a Customer Service Agent, I want to create a new ticket from a loan’s FHA-case tab, so that the ticket links to that specific loan.","F-2","Auto-populate loan identifiers on the ticket form."
"US-20","As a Customer Service Agent, I want to create a new ticket from a loan’s FHA-case tab, so that the ticket links to that specific loan.","F-3","Persist the ticket with its loan association."
"US-21","As a Customer Service Agent, I want to re-open a closed ticket, so that I can continue working when issues resurface.","F-1","Show “Re-Open” action on closed tickets."
"US-21","As a Customer Service Agent, I want to re-open a closed ticket, so that I can continue working when issues resurface.","F-2","Require reason entry before re-opening."
"US-21","As a Customer Service Agent, I want to re-open a closed ticket, so that I can continue working when issues resurface.","F-3","Change status to “Open” and log the action."
"US-22","As a Customer Service Agent, I want to merge a non-system ticket into another, so that duplicate work is eliminated.","F-1","Provide ticket-merge option on eligible tickets."
"US-22","As a Customer Service Agent, I want to merge a non-system ticket into another, so that duplicate work is eliminated.","F-2","Display search to select destination ticket."
"US-22","As a Customer Service Agent, I want to merge a non-system ticket into another, so that duplicate work is eliminated.","F-3","Combine comments and attachments, keeping destination number."
"US-23","As a Customer Service Agent, I want to import a CRM review-queue item into an existing service case, so that all correspondence stays centralized.","F-1","List CRM queue items with “Import” control."
"US-23","As a Customer Service Agent, I want to import a CRM review-queue item into an existing service case, so that all correspondence stays centralized.","F-2","Allow search and selection of an existing case."
"US-23","As a Customer Service Agent, I want to import a CRM review-queue item into an existing service case, so that all correspondence stays centralized.","F-3","Copy email body and attachments into the case log."
"US-24","As a Customer Service Agent, I want to delete a CRM queue ticket, so that irrelevant items are removed from the review list.","F-1","Provide Delete action for each CRM queue item."
"US-24","As a Customer Service Agent, I want to delete a CRM queue ticket, so that irrelevant items are removed from the review list.","F-2","Prompt confirmation before permanent removal."
"US-24","As a Customer Service Agent, I want to delete a CRM queue ticket, so that irrelevant items are removed from the review list.","F-3","Refresh queue list after successful deletion."
"US-25","As a Customer Service Manager, I want to run Customer Service reports, so that I can monitor agent performance and workload.","F-1","Offer report selection for date range and team."
"US-25","As a Customer Service Manager, I want to run Customer Service reports, so that I can monitor agent performance and workload.","F-2","Generate metrics on tickets opened, closed, pending."
"US-25","As a Customer Service Manager, I want to run Customer Service reports, so that I can monitor agent performance and workload.","F-3","Allow export to PDF and Excel."
"US-26","As a Director, I want to generate Director-level reports, so that I can review organization-wide service trends.","F-1","Provide Director Reports menu visible to Director role."
"US-26","As a Director, I want to generate Director-level reports, so that I can review organization-wide service trends.","F-2","Aggregate multi-team KPIs into a dashboard view."
"US-26","As a Director, I want to generate Director-level reports, so that I can review organization-wide service trends.","F-3","Enable scheduled email delivery of report PDFs."
"US-27","As a Servicing Supervisor, I want to run Servicing/Release reports, so that I can track loan servicing milestones.","F-1","List all servicing report templates in module."
"US-27","As a Servicing Supervisor, I want to run Servicing/Release reports, so that I can track loan servicing milestones.","F-2","Accept filters for product, region, date range."
"US-27","As a Servicing Supervisor, I want to run Servicing/Release reports, so that I can track loan servicing milestones.","F-3","Export results to CSV."
"US-28","As an Accounting User, I want to generate accounting reports, so that financial data is available for reconciliation.","F-1","Display accounting report catalog restricted to Accounting role."
"US-28","As an Accounting User, I want to generate accounting reports, so that financial data is available for reconciliation.","F-2","Include GL-account summaries and transaction detail."
"US-28","As an Accounting User, I want to generate accounting reports, so that financial data is available for reconciliation.","F-3","Support print-ready PDF output."
"US-29","As a System User, I want to manage my account information, so that my profile and contact data remain current.","F-1","Show editable fields for name, phone, and email."
"US-29","As a System User, I want to manage my account information, so that my profile and contact data remain current.","F-2","Validate required fields before save."
"US-29","As a System User, I want to manage my account information, so that my profile and contact data remain current.","F-3","Persist changes and display success message."
"US-30","As an Administrator, I want to change a user’s roles, so that access permissions stay accurate.","F-1","List assignable roles with checkboxes per user."
"US-30","As an Administrator, I want to change a user’s roles, so that access permissions stay accurate.","F-2","Save role changes immediately to security tables."
"US-30","As an Administrator, I want to change a user’s roles, so that access permissions stay accurate.","F-3","Log role-change audit entry with admin ID."
"US-31","As a Queue Supervisor, I want to change an agent’s queue status, so that ticket routing reflects availability.","F-1","Provide status drop-down (Active, Away, Offline)."
"US-31","As a Queue Supervisor, I want to change an agent’s queue status, so that ticket routing reflects availability.","F-2","Update round-robin assignment rules on save."
"US-31","As a Queue Supervisor, I want to change an agent’s queue status, so that ticket routing reflects availability.","F-3","Display visual indicator of each agent’s status."
"US-32","As a Queue Supervisor, I want to add a new designee to the ticket round-robin, so that workload is shared fairly.","F-1","Offer “Add Designee” form capturing user and skills."
"US-32","As a Queue Supervisor, I want to add a new designee to the ticket round-robin, so that workload is shared fairly.","F-2","Insert designee into rotation order."
"US-32","As a Queue Supervisor, I want to add a new designee to the ticket round-robin, so that workload is shared fairly.","F-3","Confirm addition with on-screen toast."
"US-33","As a Maintenance Admin, I want to manage vendor records, so that external partners’ data is up-to-date.","F-1","List vendors with search and pagination."
"US-33","As a Maintenance Admin, I want to manage vendor records, so that external partners’ data is up-to-date.","F-2","Enable add, edit, deactivate actions per vendor."
"US-33","As a Maintenance Admin, I want to manage vendor records, so that external partners’ data is up-to-date.","F-3","Enforce unique vendor tax ID."
"US-34","As a Maintenance Admin, I want to manage module-specific accounts, so that access to maintenance tools is controlled.","F-1","Display account grid with role and status columns."
"US-34","As a Maintenance Admin, I want to manage module-specific accounts, so that access to maintenance tools is controlled.","F-2","Support edit of account credentials."
"US-34","As a Maintenance Admin, I want to manage module-specific accounts, so that access to maintenance tools is controlled.","F-3","Provide bulk activate/deactivate action."
"US-35","As a Maintenance Admin, I want to create a new account, so that new users gain module access.","F-1","Present “Create Account” wizard with required fields."
"US-35","As a Maintenance Admin, I want to create a new account, so that new users gain module access.","F-2","Validate password strength and email uniqueness."
"US-35","As a Maintenance Admin, I want to create a new account, so that new users gain module access.","F-3","Send welcome email after creation."
"US-36","As a Customer Service Agent, I want to view my Tickets Dashboard, so that I can focus on my assigned work.","F-1","Show widgets for open, pending, and overdue tickets."
"US-36","As a Customer Service Agent, I want to view my Tickets Dashboard, so that I can focus on my assigned work.","F-2","Provide quick links to each ticket list."
"US-36","As a Customer Service Agent, I want to view my Tickets Dashboard, so that I can focus on my assigned work.","F-3","Auto-refresh counts every five minutes."
"US-37","As a Customer Service Agent, I want to pin a ticket to my dashboard, so that important cases stay visible.","F-1","Add “Pin to Dashboard” icon on ticket header."
"US-37","As a Customer Service Agent, I want to pin a ticket to my dashboard, so that important cases stay visible.","F-2","Display pinned ticket widget on dashboard."
"US-37","As a Customer Service Agent, I want to pin a ticket to my dashboard, so that important cases stay visible.","F-3","Persist pin state per user profile."
"US-38","As a Customer Service Agent, I want to unpin a ticket from my dashboard, so that the view remains uncluttered.","F-1","Show “Unpin” control on pinned ticket widget."
"US-38","As a Customer Service Agent, I want to unpin a ticket from my dashboard, so that the view remains uncluttered.","F-2","Remove widget instantly after confirmation."
"US-38","As a Customer Service Agent, I want to unpin a ticket from my dashboard, so that the view remains uncluttered.","F-3","Update stored pin list."
"US-39","As a Loan Analyst, I want to pin a loan record to my dashboard, so that I access key loans quickly.","F-1","Provide pin icon on loan summary page."
"US-39","As a Loan Analyst, I want to pin a loan record to my dashboard, so that I access key loans quickly.","F-2","Render loan card in dashboard Loans section."
"US-39","As a Loan Analyst, I want to pin a loan record to my dashboard, so that I access key loans quickly.","F-3","Keep pinning user-specific."
"US-40","As a Loan Analyst, I want to unpin a loan record, so that obsolete shortcuts are removed.","F-1","Display unpin control on loan dashboard card."
"US-40","As a Loan Analyst, I want to unpin a loan record, so that obsolete shortcuts are removed.","F-2","Delete card upon confirmation."
"US-40","As a Loan Analyst, I want to unpin a loan record, so that obsolete shortcuts are removed.","F-3","Persist updated pin list."
"US-41","As a Supervisor, I want to filter tickets by LSC user, so that I can monitor individual workloads.","F-1","Provide LSC-user drop-down on ticket list."
"US-41","As a Supervisor, I want to filter tickets by LSC user, so that I can monitor individual workloads.","F-2","Refresh list to show only selected user’s tickets."
"US-41","As a Supervisor, I want to filter tickets by LSC user, so that I can monitor individual workloads.","F-3","Retain filter setting during session."
"US-42","As a Supervisor, I want batch ticket reassignment in the LSC inbox, so that I quickly balance queues.","F-1","Enable multi-select checkboxes on inbox list."
"US-42","As a Supervisor, I want batch ticket reassignment in the LSC inbox, so that I quickly balance queues.","F-2","Present “Reassign” modal to choose new owner."
"US-42","As a Supervisor, I want batch ticket reassignment in the LSC inbox, so that I quickly balance queues.","F-3","Update ownership for all selected tickets."
"US-43","As a Supervisor, I want to view the Supervisor Inbox, so that I see escalated tickets in one place.","F-1","Show inbox tab limited to Supervisor role."
"US-43","As a Supervisor, I want to view the Supervisor Inbox, so that I see escalated tickets in one place.","F-2","Display ticket age, priority, and owner columns."
"US-43","As a Supervisor, I want to view the Supervisor Inbox, so that I see escalated tickets in one place.","F-3","Provide quick link to disposition workflow."
"US-44","As a Supervisor, I want to change a ticket’s disposition, so that its workflow step is updated.","F-1","Offer editable disposition field on ticket edit."
"US-44","As a Supervisor, I want to change a ticket’s disposition, so that its workflow step is updated.","F-2","Validate allowed transitions per business rules."
"US-44","As a Supervisor, I want to change a ticket’s disposition, so that its workflow step is updated.","F-3","Audit disposition changes with timestamp and user."
"US-45","As a Supervisor, I want a visual disposition workflow, so that I understand ticket progress.","F-1","Render workflow diagram with current step highlighted."
"US-45","As a Supervisor, I want a visual disposition workflow, so that I understand ticket progress.","F-2","Allow click-through to pending action screens."
"US-45","As a Supervisor, I want a visual disposition workflow, so that I understand ticket progress.","F-3","Update diagram in real time after status change."
"US-46","As a System Admin, I want tickets auto-assigned, so that new tickets are distributed evenly.","F-1","Configure auto-assign toggle per queue."
"US-46","As a System Admin, I want tickets auto-assigned, so that new tickets are distributed evenly.","F-2","Apply round-robin algorithm on ticket creation."
"US-46","As a System Admin, I want tickets auto-assigned, so that new tickets are distributed evenly.","F-3","Log assignment in ticket history."
"US-47","As a Supervisor, I want to filter items by HUD user, so that HUD-specific workloads are visible.","F-1","Add HUD-user filter in lists supporting HUD view."
"US-47","As a Supervisor, I want to filter items by HUD user, so that HUD-specific workloads are visible.","F-2","Refresh data based on selection."
"US-47","As a Supervisor, I want to filter items by HUD user, so that HUD-specific workloads are visible.","F-3","Preserve filter while navigating sub-tabs."
"US-48","As a Supervisor, I want HUD inbox batch ticket reassignment, so that HUD tickets are redistributed quickly.","F-1","Enable multi-select in HUD inbox."
"US-48","As a Supervisor, I want HUD inbox batch ticket reassignment, so that HUD tickets are redistributed quickly.","F-2","Provide reassignment dialog for selected tickets."
"US-48","As a Supervisor, I want HUD inbox batch ticket reassignment, so that HUD tickets are redistributed quickly.","F-3","Show success banner with reassigned count."
"US-49","As a Supervisor, I want to view the Action List, so that I can track required follow-ups.","F-1","Display sortable action list grid."
"US-49","As a Supervisor, I want to view the Action List, so that I can track required follow-ups.","F-2","Highlight overdue actions in red."
"US-49","As a Supervisor, I want to view the Action List, so that I can track required follow-ups.","F-3","Link each action to its underlying ticket."
"US-50","As a Supervisor, I want to view unassigned tickets, so that I can allocate them promptly.","F-1","Provide Unassigned tab showing tickets without owners."
"US-50","As a Supervisor, I want to view unassigned tickets, so that I can allocate them promptly.","F-2","Sort list by age descending by default."
"US-50","As a Supervisor, I want to view unassigned tickets, so that I can allocate them promptly.","F-3","Offer single-click assignment control."
"US-51","As a Supervisor, I want to filter unassigned tickets by terminated user, so that I can reclaim abandoned work.","F-1","Include “Terminated User” filter on Unassigned tab."
"US-51","As a Supervisor, I want to filter unassigned tickets by terminated user, so that I can reclaim abandoned work.","F-2","Display only tickets whose last owner is terminated."
"US-51","As a Supervisor, I want to filter unassigned tickets by terminated user, so that I can reclaim abandoned work.","F-3","Allow bulk reassignment of filtered results."
"US-52","As a Supervisor, I want batch reassignment for unassigned tickets, so that they reach active agents.","F-1","Support multi-select and assign owner in one action."
"US-52","As a Supervisor, I want batch reassignment for unassigned tickets, so that they reach active agents.","F-2","Update ticket owner field for all selections."
"US-52","As a Supervisor, I want batch reassignment for unassigned tickets, so that they reach active agents.","F-3","Show confirmation of reassigned totals."
"US-53","As a Loan User, I want to access the Loan Search screen, so that I can locate existing loans quickly.","F-1","Provide navigation link to Loan Search."
"US-53","As a Loan User, I want to access the Loan Search screen, so that I can locate existing loans quickly.","F-2","Display search criteria fields on load."
"US-53","As a Loan User, I want to access the Loan Search screen, so that I can locate existing loans quickly.","F-3","Remember last ten searches per user."
"US-54","As a Loan User, I want to search the production database, so that I see current loan data.","F-1","Offer “Production” database option in search source."
"US-54","As a Loan User, I want to search the production database, so that I see current loan data.","F-2","Execute query and return matching loans."
"US-54","As a Loan User, I want to search the production database, so that I see current loan data.","F-3","Show count of results found."
"US-55","As a Loan User, I want to search the legacy database, so that I can retrieve historical loans.","F-1","Provide “Legacy” option in database selector."
"US-55","As a Loan User, I want to search the legacy database, so that I can retrieve historical loans.","F-2","Run query against legacy schema."
"US-55","As a Loan User, I want to search the legacy database, so that I can retrieve historical loans.","F-3","Display results in standard grid."
"US-56","As a Loan User, I want to search the DATC database, so that I can review DATC-specific loans.","F-1","Include DATC in database dropdown."
"US-56","As a Loan User, I want to search the DATC database, so that I can review DATC-specific loans.","F-2","Query DATC tables with supplied criteria."
"US-56","As a Loan User, I want to search the DATC database, so that I can review DATC-specific loans.","F-3","Render results identically to other sources."
"US-57","As a Loan User, I want to view search results, so that I can pick the correct loan.","F-1","List loans with sortable headers."
"US-57","As a Loan User, I want to view search results, so that I can pick the correct loan.","F-2","Paginate results 50 rows per page."
"US-57","As a Loan User, I want to view search results, so that I can pick the correct loan.","F-3","Show clickable loan number hyperlink."
"US-58","As a Loan User, I want meaningful result headers, so that column data is easily understood.","F-1","Display headers for Loan No, Borrower, Status, Balance."
"US-58","As a Loan User, I want meaningful result headers, so that column data is easily understood.","F-2","Allow ascending/descending sort on each header."
"US-58","As a Loan User, I want meaningful result headers, so that column data is easily understood.","F-3","Preserve column order preferences."
"US-59","As a Loan User, I want to search within my results list, so that I refine large datasets quickly.","F-1","Provide inline search box above results grid."
"US-59","As a Loan User, I want to search within my results list, so that I refine large datasets quickly.","F-2","Filter displayed rows based on typed text."
"US-59","As a Loan User, I want to search within my results list, so that I refine large datasets quickly.","F-3","Reset filter when box is cleared."
"US-60","As a Loan User, I want to sort search results, so that I can analyze data in my preferred order.","F-1","Enable click-to-sort on each column."
"US-60","As a Loan User, I want to sort search results, so that I can analyze data in my preferred order.","F-2","Indicate sort direction with arrow icon."
"US-60","As a Loan User, I want to sort search results, so that I can analyze data in my preferred order.","F-3","Maintain sort when paging."
"US-61","As a Loan Processor, I want to launch the New Loan Wizard, so that I can enter a new loan step-by-step.","F-1","Provide “New Loan” button launching wizard modal."
"US-61","As a Loan Processor, I want to launch the New Loan Wizard, so that I can enter a new loan step-by-step.","F-2","Display progress bar showing each wizard step."
"US-61","As a Loan Processor, I want to launch the New Loan Wizard, so that I can enter a new loan step-by-step.","F-3","Allow cancel with warning about unsaved data."
"US-62","As a Loan Processor, I want to complete the Loan Summary step, so that core loan attributes are captured.","F-1","Present fields for loan amount, product, purpose."
"US-62","As a Loan Processor, I want to complete the Loan Summary step, so that core loan attributes are captured.","F-2","Validate mandatory fields before Next enabled."
"US-62","As a Loan Processor, I want to complete the Loan Summary step, so that core loan attributes are captured.","F-3","Persist entered data when advancing steps."
"US-63","As a Loan Processor, I want to enter Loan Details, so that underwriting information is saved.","F-1","Capture term, rate, amortization type."
"US-63","As a Loan Processor, I want to enter Loan Details, so that underwriting information is saved.","F-2","Validate numeric ranges on save."
"US-63","As a Loan Processor, I want to enter Loan Details, so that underwriting information is saved.","F-3","Support edit of details before final submit."
"US-64","As a Loan Processor, I want to provide Loan Filing information, so that filing records are tracked.","F-1","Accept filing date, jurisdiction, and fee fields."
"US-64","As a Loan Processor, I want to provide Loan Filing information, so that filing records are tracked.","F-2","Flag missing required fields."
"US-64","As a Loan Processor, I want to provide Loan Filing information, so that filing records are tracked.","F-3","Save data to filing table."
"US-65","As a Loan Processor, I want to record Loan Recording data, so that county recording details are stored.","F-1","Collect instrument number and recording date."
"US-65","As a Loan Processor, I want to record Loan Recording data, so that county recording details are stored.","F-2","Validate date is not future."
"US-65","As a Loan Processor, I want to record Loan Recording data, so that county recording details are stored.","F-3","Persist recording data on Next."
"US-66","As a Loan Processor, I want to enter Borrower/Entity data, so that borrower information is linked to the loan.","F-1","Provide add/edit borrower sub-grid."
"US-66","As a Loan Processor, I want to enter Borrower/Entity data, so that borrower information is linked to the loan.","F-2","Require EIN or SSN for each entity."
"US-66","As a Loan Processor, I want to enter Borrower/Entity data, so that borrower information is linked to the loan.","F-3","Save borrower list to loan record."
"US-67","As a Loan Processor, I want to add Property Inspection details, so that compliance evidence is documented.","F-1","Offer inspection date, inspector, and findings fields."
"US-67","As a Loan Processor, I want to add Property Inspection details, so that compliance evidence is documented.","F-2","Allow attachment of inspection images."
"US-67","As a Loan Processor, I want to add Property Inspection details, so that compliance evidence is documented.","F-3","Save inspection to loan profile."
"US-68","As a PMC Agent, I want to view the PMC queue, so that I can process incoming loan packages.","F-1","Display queue list sorted by received date."
"US-68","As a PMC Agent, I want to view the PMC queue, so that I can process incoming loan packages.","F-2","Filter queue by status."
"US-68","As a PMC Agent, I want to view the PMC queue, so that I can process incoming loan packages.","F-3","Provide open option for each package."
"US-69","As a PMC Agent, I want to import data into an existing loan, so that duplicate loans are avoided.","F-1","Provide “Import to Existing Loan” action."
"US-69","As a PMC Agent, I want to import data into an existing loan, so that duplicate loans are avoided.","F-2","Search and select target loan."
"US-69","As a PMC Agent, I want to import data into an existing loan, so that duplicate loans are avoided.","F-3","Merge imported documents into loan folder."
"US-70","As a Loan User, I want to view a loan’s summary, so that I see high-level information instantly.","F-1","Render read-only loan summary page."
"US-70","As a Loan User, I want to view a loan’s summary, so that I see high-level information instantly.","F-2","Display key fields: balance, status, maturity."
"US-70","As a Loan User, I want to view a loan’s summary, so that I see high-level information instantly.","F-3","Offer link to edit view (if authorized)."
"US-71","As a Loan Editor, I want to edit the loan summary, so that updated terms are stored.","F-1","Provide editable form with existing summary data."
"US-71","As a Loan Editor, I want to edit the loan summary, so that updated terms are stored.","F-2","Validate required fields prior to save."
"US-71","As a Loan Editor, I want to edit the loan summary, so that updated terms are stored.","F-3","Write changes to audit log."
"US-72","As a Loan User, I want to view loan details, so that I can analyze granular attributes.","F-1","Show details tab with payment schedule and collateral."
"US-72","As a Loan User, I want to view loan details, so that I can analyze granular attributes.","F-2","Display read-only fields unless user has edit rights."
"US-72","As a Loan User, I want to view loan details, so that I can analyze granular attributes.","F-3","Include print option."
"US-73","As a Loan Editor, I want to edit loan details, so that corrections are applied.","F-1","Enable inline editing on details tab."
"US-73","As a Loan Editor, I want to edit loan details, so that corrections are applied.","F-2","Validate numeric fields on blur."
"US-73","As a Loan Editor, I want to edit loan details, so that corrections are applied.","F-3","Persist updates with success toast."
"US-74","As a Loan User, I want to view loan filing information, so that I confirm filing status.","F-1","Display filing jurisdiction, fee, and date fields."
"US-74","As a Loan User, I want to view loan filing information, so that I confirm filing status.","F-2","Show document download links."
"US-74","As a Loan User, I want to view loan filing information, so that I confirm filing status.","F-3","Indicate missing filings with warning icon."
"US-75","As a Loan Editor, I want to edit loan filing records, so that I correct or add filings.","F-1","Present editable filing form."
"US-75","As a Loan Editor, I want to edit loan filing records, so that I correct or add filings.","F-2","Validate that filing date is present."
