"User Story Number","User Story Description","Feature Number","Feature Description","Source File","Source Text"
"US-33","As a SMART user, I want to batch-reassign unassigned tickets, so that tasks are distributed quickly.","F-1","F-1","part_001.txt","“3.7.2  Batch Reassign Tickets”"
"US-34","As a SMART user, I want to search production-database loans, so that I can locate current records.","F-1","F-1","part_001.txt","“4.1.1  Loan Search — Production Database”"
"US-35","As a SMART user, I want to search legacy-database loans, so that I can reference historical data.","F-1","F-1","part_001.txt","“4.1.2  Loan Search — Legacy Database”"
"US-36","As a SMART user, I want to search DAT C database loans, so that I can access additional records.","F-1","F-1","part_001.txt","“4.1.3  Loan Search — DAT C Database”"
"US-37","As a SMART user, I want to view loan search results, so that I can act on retrieved loans.","F-1","F-1","part_001.txt","“4.1.4  Search R@SUItS”"
"US-38","As a SMART user, I want to add a new PMM loan record, so that PMM loans are tracked.","F-1","F-1","part_001.txt","“4.2.1  Add New PMM Loan ReCOIGG”"
"US-39","As a SMART user, I want to add a new common loan record, so that standard loans are entered.","F-1","F-1","part_001.txt","“4.2.2  Add New Common Loan ReCOMdS”"
"US-40","As a SMART user, I want to view the PMC Queue, so that I can process pending loan entries.","F-1","F-1","part_001.txt","“4.3  PMC QUEUC”"
"US-41","As a SMART user, I want to access detailed loan information, so that I understand loan status fully.","F-1","F-1","part_001.txt","“4.4  Accessing Detailed Loan Information”"
"US-42","As a SMART user, I want to view details of partial claim loan records, so that I manage those loans accurately.","F-1","F-1","part_001.txt","“4.4.1  Access Details of Partial Claim Loan ReCOIdS”"
"US-43","As a SMART user, I want to view details of PMM loan records, so that I oversee PMM loans correctly.","F-1","F-1","part_001.txt","“4.4.2  Access Details of PMM Loan ReCOIdS”"
"US-44","As a SMART user, I want to view details of Secretary Held loan records, so that I can manage them.","F-1","F-1","part_001.txt","“4.4.3  Access Details of Secretary Held Loan ReCOIdS”"
"US-45","As a SMART user, I want to view details of HAH loan records, so that I can administer HAH loans.","F-1","F-1","part_001.txt","“4.4.4  Access Details of HAH Loan ReCOIS”"
"US-46","As a SMART user, I want to view details of EHLP loan records, so that I track EHLP loans.","F-1","F-1","part_001.txt","“4.4.5  Access Details of EHLP Loan RECOrdS”"
"US-47","As a SMART user, I want to view details of default loan records, so that I manage defaults properly.","F-1","F-1","part_001.txt","“4.4.6  Access Details of Default Loan RECOrS”"
"US-48","As a SMART user, I want to view details of HECM-Assured loan records, so that I can manage HECM-Assured loans.","F-1","F-1","part_001.txt","“4.4.7  Access Details of HECM-Assured Loan ReCOICS”"
"US-49","As a SMART user, I want to view details of HECM-Insured & SF Data Request loan records, so that I handle them effectively.","F-1","F-1","part_001.txt","“4.4.8  Access Details of HECM-Insured & SF Data Request Loan ReCOrdS”"
"US-50","As a SMART user, I want to view loan transactions, so that I can audit financial activity.","F-1","F-1","part_001.txt","“4.5.1  Transactions”"
"US-51","As a SMART user, I want to view loan disbursements, so that I understand payment history.","F-1","F-1","part_001.txt","“4.5.2  Disbursements”"
"US-52","As a SMART user, I want to request a loan payoff, so that I can close out a loan.","F-1","F-1","part_001.txt","“4.5.3  Payoff REQUEST”"
"US-53","As a customer-service agent, I want to close a ticket, so that the issue is removed from my active workload.","F-1","F-1","part_002.txt","“10.2.10 Close Ticket”"
"US-54","As a user, I want to create a new ticket, so that I can log a customer issue for tracking.","F-1","F-1","part_002.txt","“10.3 Create NEW Ticket”"
"US-55","As a user, I want to create a ticket from the header, so that I can open an issue quickly from any page.","F-1","F-1","part_002.txt","“10.3.1 Create New Ticket from He@ader”"
"US-56","As a user, I want to create a ticket from the tab for a specific FHA case number, so that the ticket is pre-associated with that loan.","F-1","F-1","part_002.txt","“10.3.2 Create New Ticket from Tab for Specific FHA Case No.”"
"US-57","As a user, I want to re-open a closed ticket, so that I can continue working when an issue resurfaces.","F-1","F-1","part_002.txt","“10.4.1 Re-Open Ticket”"
"US-58","As a user, I want to merge a non-system ticket into another, so that duplicate records are eliminated.","F-1","F-1","part_002.txt","“10.4.2 Merge Non-Sys Ticket”"
"US-59","As a user, I want to review the CRM Review Queue, so that I can manage incoming CRM tickets.","F-1","F-1","part_002.txt","“10.5 CRM Review QUeUG”"
"US-60","As a user, I want to import a CRM ticket into an existing customer-service case, so that related history stays together.","F-1","F-1","part_002.txt","“10.5.1 Import into Existing Customer Service CaS”"
"US-61","As a user, I want to delete a CRM ticket from the review queue, so that irrelevant items are removed.","F-1","F-1","part_002.txt","“10.5.2 Delete the CRM Ticket from the CRM RevieW QUEUC”"
"US-62","As a customer-service manager, I want to run customer-service reports, so that I can monitor case volumes and performance.","F-1","F-1","part_002.txt","“11.1 Customer Service Reports”"
"US-63","As a director, I want to run director reports, so that I have executive-level insights.","F-1","F-1","part_002.txt","“11.2 DirectOr REPOrts”"
"US-64","As a servicing manager, I want servicing/release reports, so that I can track loan-release activities.","F-1","F-1","part_002.txt","“11.3 Servicing/Release REPOrts”"
"US-65","As an accounting user, I want accounting reports, so that I can reconcile financial transactions.","F-1","F-1","part_002.txt","“11.4 ACCOUNTING REPOFtS”"
"US-66","As an administrator, I want to manage user accounts, so that access remains current and secure.","F-1","F-1","part_002.txt","“12.1 Manage ACCOUNL”"
"US-67","As an administrator, I want to change user roles, so that permissions match job duties.","F-1","F-1","part_002.txt","“12.2 Change ROIOS”"
"US-68","As a support manager, I want ticket round-robin assignment, so that workload is distributed evenly.","F-1","F-1","part_002.txt","“13.1 Ticket ROUNC RObIMN”"
"US-69","As a queue supervisor, I want to change an agent’s queue status, so that routing reflects availability.","F-1","F-1","part_002.txt","“13.1.1 Change Agent Status OF QUEUE”"
"US-70","As a supervisor, I want to add a new designee to the queue, so that tickets can be routed to new staff.","F-1","F-1","part_002.txt","“13.1.2 Add New Designee”"
"US-71","As an administrator, I want vendor management capabilities, so that external vendors can be tracked and maintained.","F-1","F-1","part_002.txt","“13.2 Vendor Manageme nt”"
"US-72","As an administrator, I want account management tools, so that organizational accounts are controlled centrally.","F-1","F-1","part_002.txt","“13.3 ACCOUNT ManageMe nt”"
"US-73","As an administrator, I want to create Account 20 records, so that new entities can be added to the system.","F-1","F-1","part_002.txt","“13.4 Create ACCOUNT 20”"
"US-74","As a HUD Admin user, I want to view reinstatement information, so that I can confirm a loan’s reinstatement status.","F-1","F-1","part_003.txt","“VIEW REINSTATEMEN ...........cecccccseesccccaeecccneeeeeecaesececsseeseesaeesee…”"
"US-75","As a HUD Admin user, I want to view payoff details, so that I can review outstanding payoff amounts.","F-1","F-1","part_003.txt","“VIQW Payoff ........cccccccccccccseseeeeeeeeeeee…”"
"US-76","As a HUD Admin user, I want to view loan-balance transfer data, so that I can track transferred balances.","F-1","F-1","part_003.txt","“View Loan Balance Transfer .......ccccccssssssscccccccceeessseececeeesaaee…”"
"US-77","As a HUD Admin user, I want to add a transaction, so that new financial activities are recorded.","F-1","F-1","part_003.txt","“Add Transaction .......cccccccscsssseeccceeecaeeeeeeeeeeeeeeee…”"
"US-78","As a HUD Admin user, I want to view loan history, so that I can analyze past activities.","F-1","F-1","part_003.txt","“VIEW LOAN HIStTOLY .........ccccceeccccceseseccceeeecccneesececae…”"
"US-79","As a HUD Admin user, I want to view disbursements, so that I can audit outgoing funds.","F-1","F-1","part_003.txt","“VIEW DiSbDUrS@MENKS.........::ccccccccccccseeesseeeeeeeeeeaeeee…”"
"US-80","As a HUD Admin user, I want to view monthly statements, so that I can verify issued statements.","F-1","F-1","part_003.txt","“View Monthly Statements ..........ccccccssssseccccccceeeesseeceeee…”"
"US-81","As a HUD Admin user, I want to view customer service records, so that I can respond to borrower inquiries.","F-1","F-1","part_003.txt","“VIEW CUSTOMER SEPFVICE.........cccccsesseccceeeecccnesecccaeeecec…”"
"US-82","As a HUD Admin user, I want to view loan filings, so that I can examine recorded filing data.","F-1","F-1","part_003.txt","“VIEW LOAN FIlING ...... ccc ceeeeeeeccceeceeeeeeeeeeeeeee…”"
"US-83","As a HUD Admin user, I want to view loan recordings, so that I can validate recorded instruments.","F-1","F-1","part_003.txt","“VIEW LOAN RECOFCING .........:ccccccccccccessesseeeceeeeeeaeeee…”"
"US-84","As a HUD Admin user, I want to view borrower information, so that I can confirm borrower details.","F-1","F-1","part_003.txt","“ViIGW BOFOWELS.......cccseeecccceeeecccseeeecenseeceaeeee…”"
"US-85","As a HUD Admin user, I want to view property inspections, so that I can assess property condition records.","F-1","F-1","part_003.txt","“View Property INSPECTION ...........cccccccsssecccneeeececaee…”"
"US-86","As a HUD Admin user, I want to add a property inspection, so that new inspection data is captured.","F-1","F-1","part_003.txt","“Add Property INSP@CtiON..........cccccccsssssseeeceeceeeaeeeeee…”"
"US-87","As a HUD Admin user, I want to view documents, so that I can access all loan files.","F-1","F-1","part_003.txt","“VIQW DOCUMENNS .........ccccccsseeeccceeeeececaeeececaeeee…”"
"US-88","As a HUD Admin user, I want to view notes, so that I can read commentary on loan actions.","F-1","F-1","part_003.txt","“VICQW NOTES.........ccecccccssescccceecceceeeeeeeseeeeee…”"
"US-89","As a HUD Admin user, I want to view property taxes, so that I can confirm tax status.","F-1","F-1","part_003.txt","“VIEW Property TAaXeS..........ccccccccsseseccceesecccseeeeees…”"
"US-90","As a HUD Admin user, I want to view set-aside/escrow transactions, so that escrow activity is transparent.","F-1","F-1","part_003.txt","“View Set ASide@/ESC Tranns.......cccccccccssssseesccccccceue…”"
"US-91","As a HUD Admin user, I want to add a set-aside/escrow transaction, so that escrow funds are updated.","F-1","F-1","part_003.txt","“Add View Set ASId@/ESC Tranns..........cscsessccccccccssessee…”"
"US-92","As a HUD Admin user, I want to view a loan summary, so that I can quickly assess key loan metrics.","F-1","F-1","part_003.txt","“VIEW LOAN SUMMMALY..........csecccccseesccccseeecccceeeeeec…”"
"US-93","As a HUD Admin user, I want to edit loan details, so that I can correct or update loan information.","F-1","F-1","part_003.txt","“Edit Loan Detail ..........ccccccccccccccccccseesseeeeeeeee…”"
"US-94","As a HUD Admin user, I want to edit loan filings, so that filing data stays accurate.","F-1","F-1","part_003.txt","“Edit LOAN Filing .........cccecesccccccecccceeesseeeeeeeeee…”"
"US-95","As a HUD Admin user, I want to edit loan recordings, so that recording information can be amended.","F-1","F-1","part_003.txt","“Edit Loan RECOICING ...........ccccccccccssssseeececeeesaee…”"
"US-96","As a HUD Admin user, I want to edit borrower records, so that borrower data remains current.","F-1","F-1","part_003.txt","“Edit Borrowers (235-INSULEd) ......ccccccccccceeeeeeeeeeeeee…”"
"US-97","As a HUD Admin user, I want to view exceptions, so that I can monitor outstanding issues.","F-1","F-1","part_003.txt","“View Exceptions (235-INSUred) ...........cccccccceeeeeeeeee…”"
"US-98","As a HUD Admin user, I want to add an exception, so that new issues are tracked.","F-1","F-1","part_003.txt","“Add Exception (235-INSUred) ...........ccccccccceceeeeeeee…”"
"US-99","As a HUD Admin user, I want to view mortgage releases, so that release documentation is accessible.","F-1","F-1","part_003.txt","“View Mortgage Rel@ase........cccccccccsssssssseccceeeeeaesee…”"
"US-100","As a HUD Admin user, I want to view servicing information, so that servicing activities are visible.","F-1","F-1","part_003.txt","“VIGW SOPVICING........ccccseeeccccesecccaeeecceceeeeceesee…”"
"US-101","As a HUD Admin user, I want to view foreclosure data, so that foreclosure status is tracked.","F-1","F-1","part_003.txt","“VIOW FOreClOSULE....... cece nee EEE EEE …”"
"US-102","As a HUD Admin user, I want to view bankruptcy details, so that I can monitor bankruptcy proceedings.","F-1","F-1","part_003.txt","“VIQEW BAaNnkrUptcy ......ccccccccesseseecccceeeaeeeseeeeeee…”"
"US-103","As a HUD Admin user, I want to view ACH information, so that electronic payment settings are verified.","F-1","F-1","part_003.txt","“View ACH Information... eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee…”"
"US-104","As a HUD Admin user, I want to view transactions, so that I can audit all financial events.","F-1","F-1","part_003.txt","“VIEW TraNSactiOns .........cceeeeeeeeeeceecceaeeeeeeeeeeeeee…”"
"US-105","As a HUD Admin user, I want to add a transaction requiring check info, so that check payments are logged.","F-1","F-1","part_003.txt","“Add Transaction that requires Check Information............cccccccccc…”"
"US-106","As a HUD Admin user, I want to add a CTB transaction, so that CTB payments are captured.","F-1","F-1","part_003.txt","“Add CTB Transaction ...........ccccc eee eee eee…”"
"US-107","As a HUD Admin user, I want to add a transaction after CTB submission, so that post-CTB activities are recorded.","F-1","F-1","part_003.txt","“Add Transaction After CTB Transaction SUDMitted .............cccceee…”"
"US-108","As a HUD Admin user, I want to add an annual certification compliance transaction, so that compliance payments are tracked.","F-1","F-1","part_003.txt","“Add Annual Certification Compliance Transaction ...........cccccccc…”"
"US-109","As a HUD Admin user, I want to clear a disbursement, so that erroneous disbursements are removed.","F-1","F-1","part_003.txt","“Clear DiSDUSCMENL.......ceecceeeeeeeeeeeeeeeeee…”"
"US-110","As a HUD Admin user, I want to partially void a disbursement, so that only incorrect portions are canceled.","F-1","F-1","part_003.txt","“Partially Void DisbUrsSeMent ..........::ccccccccccccssessseecce…”"
"US-111","As a HUD Admin user, I want to partially clear a disbursement, so that cleared amounts are limited.","F-1","F-1","part_003.txt","“Partially Clear DiSbDUrsS@Ment ...........ccccccccccccssessseecce…”"
"US-112","As a HUD Admin user, I want to add a payoff request, so that payoff processing begins.","F-1","F-1","part_003.txt","“Add Payoff REQUESt..........ccssscsecccccecseeeseeeeeeeeeesa…”"
"US-113","As a HUD Admin user, I want to print a payoff letter, so that borrowers receive payoff documentation.","F-1","F-1","part_003.txt","“Servicing Module — Print Payoff Letter............. 103”"
"US-114","As a HUD Admin user, I want to submit a payoff payment, so that the loan can be closed.","F-1","F-1","part_003.txt","“Submit Payoff PayMent ..........ccccccccccccccsssssesecceeeeeee…”"
"US-115","As a HUD Admin user, I want to mark payoff process completed, so that loan status updates to satisfied.","F-1","F-1","part_003.txt","“Payoff Tab — Payoff Process COMpleted............. 104”"
"US-116","As a HUD Admin user, I want to manage document workflow, so that documents move through required stages.","F-1","F-1","part_003.txt","“DOCUMENE WOrkFlOW ......cccccccccccccecc cece cece…”"
"US-117","As a HUD Admin user, I want to view the NCF queue, so that pending items are monitored.","F-1","F-1","part_003.txt","“NCF QUCUC.... ee eeeeccecc cece eeeeeeeeeeeeeeaaee…”"
"US-118","As a HUD Admin user, I want to create borrower documents with the wizard, so that standardized docs are produced.","F-1","F-1","part_003.txt","“New Document Wizard — Borrowers .......ccccccccccceeceeeeeee…”"
"US-119","As a HUD Admin user, I want to create general documents with the wizard, so that other loan docs are generated.","F-1","F-1","part_003.txt","“New Document Wizard — DOCUMENTS ..........cccccccccccceeeee…”"
"US-120","As a HUD Admin user, I want to search servicing records, so that specific servicing cases are located.","F-1","F-1","part_003.txt","“Servicing Search SCrEON.........cccccccccccccccceeesseeeeeeee…”"
"US-120","As a HUD Admin user, I want to search servicing records, so that specific servicing cases are located.","F-2","F-2","part_003.txt","“Servicing Search Screen BUttONS ...........cccececceccccccceee…”"
"US-121","As a HUD Admin user, I want to add a servicing activity, so that new servicing tasks are tracked.","F-1","F-1","part_003.txt","“Add New Servicing Activity (Demand Tracking — Partial Claim)............... 114”"
"US-122","As a HUD Admin user, I want to add a servicing step, so that detailed task progress is documented.","F-1","F-1","part_003.txt","“Add New Servicing Step (Demand Tracking — Partial Claim) ............... 115”"
"US-123","As a HUD Admin user, I want to edit a servicing step, so that corrections can be made.","F-1","F-1","part_003.txt","“Edit Servicing Step (Demand Tracking — Partial Claim) .......... 117”"
"US-124","As a HUD Admin user, I want to inactivate a servicing step, so that obsolete tasks are closed.","F-1","F-1","part_003.txt","“Inactivate Servicing Step (Demand Tracking — Partial Claim) ......... 117”"
"US-125","As a HUD Admin user, I want to search bankruptcy records, so that loans in bankruptcy are located.","F-1","F-1","part_003.txt","“Bankruptcy Search SCrO@N ...... 118”"
"US-125","As a HUD Admin user, I want to search bankruptcy records, so that loans in bankruptcy are located.","F-2","F-2","part_003.txt","“Bankruptcy Search Screen BUttONS .......... 119”"
"US-126","As a HUD Admin user, I want to add a bankruptcy activity, so that new bankruptcy events are tracked.","F-1","F-1","part_003.txt","“Add New Bankruptcy Activity (Chapter 7 — Partial Claim).............. 121”"
"US-127","As a HUD Admin user, I want to add a bankruptcy step, so that detailed bankruptcy tasks are documented.","F-1","F-1","part_003.txt","“Add New Bankruptcy Step (Chapter 7 — Partial Claim) ............... 122”"
"US-128","As a HUD Admin user, I want to view bankruptcy management, so that I can oversee bankruptcy workflows.","F-1","F-1","part_003.txt","“Bankruptcy Management (Chapter 7 — Partial Claim) .......... 123”"
"US-129","As a lender, I want to query and review loan information, so that I can analyze loan details quickly.","F-1","F-1","part_004.txt","“Loan Module: Query and review loan information at a detailed level”"
"US-129","As a lender, I want to query and review loan information, so that I can analyze loan details quickly.","F-2","F-2","part_004.txt","“Loan Module: Query and review loan information at a detailed level”"
"US-130","As a lender, I want to add a new loan record, so that new loans are captured in SMART.","F-1","F-1","part_004.txt","“Loan Module: … add new loan records to the system”"
"US-131","As a lender, I want to edit existing loan information, so that loan data stays accurate.","F-1","F-1","part_004.txt","“Loan Module: … edit existing loan information”"
"US-132","As a lender, I want to assign servicing templates to loans, so that standardized servicing steps are planned.","F-1","F-1","part_004.txt","“Servicing Module: Assign mortgage servicing templates to individual loans”"
"US-133","As a lender, I want to track the status of each servicing template, so that I know servicing progress.","F-1","F-1","part_004.txt","“Servicing Module: … track the status of each servicing template”"
"US-134","As a lender, I want to generate servicing forms and letters, so that required documents are produced automatically.","F-1","F-1","part_004.txt","“Servicing Module: … generate the corresponding servicing forms and letters”"
"US-134","As a lender, I want to generate servicing forms and letters, so that required documents are produced automatically.","F-2","F-2","part_004.txt","“Servicing Module: … generate the corresponding servicing forms and letters”"
"US-135","As a lender, I want to maintain bankruptcy information for a loan, so that bankruptcy records are kept current.","F-1","F-1","part_004.txt","“Bankruptcy Module: Maintain … bankruptcy information for individual loan records.”"
"US-136","As a lender, I want to track bankruptcy information, so that I can monitor bankruptcy progress.","F-1","F-1","part_004.txt","“Bankruptcy Module: … track … bankruptcy information for individual loan records.”"
"US-137","As a lender, I want to edit bankruptcy information, so that corrections can be made.","F-1","F-1","part_004.txt","“Bankruptcy Module: … edit bankruptcy information for individual loan records.”"
"US-138","As a lender, I want to manage foreclosure loan records, so that foreclosure activities are coordinated.","F-1","F-1","part_004.txt","“Foreclosure Module: Manage loan records in the foreclosure process.”"
"US-139","As a lender, I want to view a timeline of required foreclosure steps, so that I understand upcoming tasks.","F-1","F-1","part_004.txt","“Module provides a timeline of the required foreclosure steps”"
"US-140","As a lender, I want to track scheduled versus completed foreclosure activity, so that delays are identified.","F-1","F-1","part_004.txt","“tracks the scheduled foreclosure activity vs. the completed foreclosure activity.”"
"US-141","As a lender, I want to initiate the mortgage release process, so that satisfied loans can be released.","F-1","F-1","part_004.txt","“Mortgage Release Module: Initiate the loan release process for satisfied loans”"
"US-142","As a lender, I want to track the mortgage release status, so that I know where each release stands.","F-1","F-1","part_004.txt","“Mortgage Release Module: … track the release status”"
"US-143","As a lender, I want to generate mortgage release forms and letters, so that required documents are produced.","F-1","F-1","part_004.txt","“Mortgage Release Module: … generate the corresponding release forms and letters”"
"US-143","As a lender, I want to generate mortgage release forms and letters, so that required documents are produced.","F-2","F-2","part_004.txt","“Mortgage Release Module: … generate the corresponding release forms and letters”"
"US-144","As a cash-management user, I want to track incoming Pay.Gov payments, so that receipts are reconciled.","F-1","F-1","part_004.txt","“Cash Management Module: Track and manage incoming payments from Pay.Gov”"
"US-145","As a cash-management user, I want to submit disbursement checks, so that outbound funds are processed.","F-1","F-1","part_004.txt","“Cash Management Module: … submit disbursement checks”"
"US-146","As a cash-management user, I want to search for transactions, so that I can locate specific payment data.","F-1","F-1","part_004.txt","“Cash Management Module: … search for transactions”"
"US-147","As a cash-management user, I want to review the TROR report, so that Treasury reporting requirements are met.","F-1","F-1","part_004.txt","“Cash Management Module: … review the TROR and Trial Balance reports.”"
"US-148","As a cash-management user, I want to review the Trial Balance report, so that account balances are verified.","F-1","F-1","part_004.txt","“Cash Management Module: … review the TROR and Trial Balance reports.”"
"US-149","As a customer-service agent, I want to create tickets, so that borrower issues are logged.","F-1","F-1","part_004.txt","“Customer Service Module: Create, view, and manage tickets.”"
"US-150","As a customer-service agent, I want to view tickets, so that I can monitor outstanding cases.","F-1","F-1","part_004.txt","“Customer Service Module: Create, view, and manage tickets.”"
"US-151","As a customer-service agent, I want to manage existing tickets, so that I can update their status and information.","F-1","F-1","part_004.txt","“Customer Service Module: Create, view, and manage tickets.”"
"US-152","As a customer-service agent, I want to create and edit call logs, so that all communications are recorded.","F-1","F-1","part_004.txt","“Customer Service Module: Create and edit call logs and ticket actions.”"
"US-152","As a customer-service agent, I want to create and edit call logs, so that all communications are recorded.","F-2","F-2","part_004.txt","“Customer Service Module: Create and edit call logs and ticket actions.”"
"US-153","As a customer-service agent, I want to create ticket actions, so that next steps are documented.","F-1","F-1","part_004.txt","“Customer Service Module: … and ticket actions.”"
"US-154","As a maintenance admin, I want to manage user accounts, so that access rights remain current.","F-1","F-1","part_004.txt","“Maintenance Module: Manage user account”"
"US-155","As a maintenance admin, I want to reset user passwords, so that locked users regain access.","F-1","F-1","part_004.txt","“Maintenance Module: … reset user passwords”"
"US-156","As a maintenance admin, I want to update the ticket round robin, so that workload is balanced.","F-1","F-1","part_004.txt","“Maintenance Module: … update ticket round robin.”"
"US-157","As any user, I want to access the SMART landing page, so that I can begin the login process.","F-1","F-1","part_004.txt","“Step1: Toaccess the SMART web application, open your web browser and go to https://smart.hudnsc.org.”"
"US-158","As any user, I want to log in with my username and password, so that I can use SMART securely.","F-1","F-1","part_004.txt","“Step 2: Input your User Name.”"
"US-158","As any user, I want to log in with my username and password, so that I can use SMART securely.","F-2","F-2","part_004.txt","“Step 2: … Input your Password.”"
"US-158","As any user, I want to log in with my username and password, so that I can use SMART securely.","F-3","F-3","part_004.txt","“Step 3: Click [LOGIN].”"
"US-159","As any user, I want to initiate multi-factor setup after login, so that my account is protected.","F-1","F-1","part_004.txt","“A pop-up will appear to initiate setting up Multi-Factor”"
"US-160","As a SMART user, I want to start MFA and pick my device type, so that my phone can be registered for two-factor authentication.","F-1","F-1","part_005.txt","“Click [START SETUP].”"
"US-160","As a SMART user, I want to start MFA and pick my device type, so that my phone can be registered for two-factor authentication.","F-2","F-2","part_005.txt","“What type of device are you adding?”"
"US-160","As a SMART user, I want to start MFA and pick my device type, so that my phone can be registered for two-factor authentication.","F-3","F-3","part_005.txt","“Step 4: Select Mobile Phone or Landline and click [CONTINUE].”"
"US-161","As a SMART user, I want to enter and confirm my phone number, so that MFA messages reach the correct device.","F-1","F-1","part_005.txt","“Step 5: Enter your phone number”"
"US-161","As a SMART user, I want to enter and confirm my phone number, so that MFA messages reach the correct device.","F-2","F-2","part_005.txt","“click the box to verify the phone number”"
"US-161","As a SMART user, I want to enter and confirm my phone number, so that MFA messages reach the correct device.","F-3","F-3","part_005.txt","“and click [CONTINUE].”"
"US-162","As a SMART user, I want to choose call or text to receive my MFA code, so that I can verify phone ownership.","F-1","F-1","part_005.txt","“To get a phone call verification, select [CALL ME].”"
